Case,Ozone_ppbv,Temperature_K,Tau,Attenuation_percent,I0_A,I_A,I/I0
Case 1: O3_1 @ T1,0.001,293,1.68E-11,1.68E-09,6.19E-08,6.19E-08,1
Case 2: O3_2 @ T2,10,133,3.69E-07,3.69E-05,6.19E-08,6.19E-08,0.999999631
